GeneID
POU5F1
ESRRB
SOX2
TRIM28
DPPA4
MBD3
NR5A2
RIF1
TDGF1
WDR5
ZFP219
ZFP42
2610101N10RIK
2610528E23RIK
5730590G19RIK
ACTL6A
AHCTF1
AQR
BAG4
BCCIP
BRCA1
CBX7
CCNE1
CDC5L
CDCA7
CDYL2
CNOT3
COIL
DBR1
DDX10
DDX39
DHX35
DHX8
DTYMK
DUS1L
EEF1E1
FBXO15
FGF17
FGF4
GART
GDF3
GNL3
HEATR1
HELLS
HSD17B14
JARID2
KARS
KCNK5
KIF11
LAS1L
MCRS1
MKRN1
MTF2
MTHFD1
MYCN
MYST2
NANOG
NASP
NCL
NOC3L
NR0B1
NUP133
NVL
PIGL
POLR3B
PPIL1
PPM1G
PRMT3
RBM19
REST
RIOK2
RNF2
RPS4Y2
RPUSD2
RRP15
RRP1B
RTEL1
RUVBL1
RUVBL2
SAE1
SALL4
SEH1L
SETDB1
SETX
SIN3A
SLC7A3
SMARCA5
SMARCAD1
SMARCC1
SRM
SUPT16H
TCL1
TDH
TET1
UTP14A
WDR46
WDR74
XKR5
XPO4
ZC3HC1
ZFP57
ZFP819
1700019D03RIK
1700029P11RIK
1700097N02RIK
2310008H09RIK
2410002O22RIK
2410007B07RIK
2610027L16RIK
2610305D13RIK
2810004N23RIK
ABCF1
ACP6
AGGF1
AHCY
AIM1L
AKAP8
APEX1
ASH2L
ASXL2
ATAD3A
ATIC
AVPI1
BC002230
BC023969
BC030867
BCAT2
BRCA2
BRD8
C1QBP
CACYBP
CAPRIN2
CCNB1
CCT3
CDCA5
CDV3
CEP55
CHCHD4
CHTF18
CPSF3L
CTH
DCTPP1
DDX18
DDX20
DDX21
DDX27
DHX16
DNTTIP2
DPPA2
DPY30
DTWD2
E130012A19RIK
EED
EFTUD2
EIF2B5
EIF2S1
EIF3J
EIF4A1
EIF4A3
ELAC2
EPB4.1L4A
ERAS
ESF1
ESPL1
ETF1
ETV5
EXOSC2
EXOSC3
EXOSC5
F630043A04RIK
FBLIM1
FBXO22
FIG4
FIZ1
FTSJ3
FUS
GAB1
GABPA
GAR1
GBX2
GEMIN4
GFPT2
GLI2
GPATCH4
GRTP1
GRWD1
GTF2H4
GTSF1L
H2-KE2
HARS
HAUS6
HCFC1
HELB
HIRIP3
HMMR
HNRNPC
HPDL
IKBKAP
ING1
ING3
ING5
INO80E
IPO11
IPO5
ITPA
JAM2
KDM4C
KDM5B
KIF20B
KIF2C
KLF2
KRR1
KRT42
L1TD1
LEO1
LMNB2
LRRC34
LRWD1
LSG1
LSM4
LUC7L
MCF2
MCM10
MCM4
MCM5
MCM7
MDN1
METTL13
MINA
MMACHC
MRPL15
MRPL47
MRPS27
MRPS30
MSC
MSH6
MTM1
MTX1
MYBBP1A
MYST4
NAT10
NCBP1
NHEDC1
NHP2L1
NIP7
NIPSNAP1
NLE1
NMD3
NOL11
NOL8
NOLC1
NOP2
NPHS1
NPM1
NSUN2
NUDCD1
NUP43
ODC1
OOEP
PA2G4
PARG
PARP1
PCGF6
PDCD11
PFAS
PHC1
PHF17
PNLDC1
POLR1B
POLR2H
POLR3G
PPRC1
PRMT1
PRMT5
PRPF38A
PRPS1
PSMA8
PSMD12
PTBP1
PTCD3
PWP1
QTRT1
RABGGTB
RANBP17
RANGRF
RBM25
RBM8A
RCC1
RCC2
RCL1
RHEBL1
RNASEH2A
RNF138
RPAP1
RPP25
RRM2
RRP12
RRP9
RRS1
RSL1D1
SALL1
SDAD1
SENP3
SERBP1
SERPINB6C
SIRT1
SKIV2L2
SKP2
SMC2
SMC3
SMPD4
SNRPA
SNRPA1
SNRPF
SPRYD4
SSRP1
STIP1
SYCE1
SYNCRIP
TAF1D
TAF4B
TAF8
TARBP2
TCF15
TERF1
TFAM
THG1L
THOC5
THOP1
TIMELESS
TLE4
TNPO3
TRAIP
TRIM24
TRIM71
TRIML1
TRIP12
TRIP13
TRMT6
TRP53
TTF2
TYMS
U2AF1
U2AF2
UBA2
UBE3C
UBR5
UMPS
UNG
UPP1
URB2
USP7
UTF1
UTP3
UTP6
VPRBP
WBSCR22
WDR12
WDR36
WDR43
WDR77
X99384
YDJC
YES1
ZCCHC10
ZFP105
ZFP110
ZFP281
ZFP428
ZFP473
ZMYM1
ZSCAN10
